geoid,period,confirmed_cases_total,death_total,cases,death,pop,confirmed_rate_total,death_rate_tatal,confirmed_rate,death_rate
18097,2020-03-09,4,0,1,0,20112,1.99,0.00,0.50,0.00
8059,2020-03-09,5,0,1,0,8580,5.83,0.00,1.17,0.00
55025,2020-03-09,7,0,0,0,65205,1.07,0.00,0.00,0.00
29189,2020-03-09,3,0,1,0,24468,1.23,0.00,0.41,0.00
12091,2020-03-09,3,0,1,0,25584,1.17,0.00,0.39,0.00
21067,2020-03-09,7,0,3,0,4880,14.34,0.00,6.15,0.00
27123,2020-03-09,4,0,1,0,161348,0.25,0.00,0.06,0.00
40143,2020-03-09,4,0,1,0,0,inf,,inf,
32031,2020-03-09,7,0,2,0,23170,3.02,0.00,0.86,0.00
53061,2020-03-09,155,0,42,0,32977,47.00,0.00,12.74,0.00
6023,2020-03-09,7,0,0,0,313887,0.22,0.00,0.00,0.00
25021,2020-03-09,26,0,9,0,917,283.53,0.00,98.15,0.00
34031,2020-03-09,2,0,1,0,726,27.55,0.00,13.77,0.00
48085,2020-03-09,1,0,1,0,89,112.36,0.00,112.36,0.00
6019,2020-03-09,3,0,1,0,82458,0.36,0.00,0.12,0.00
34025,2020-03-09,2,0,2,0,4625,4.32,0.00,4.32,0.00
6013,2020-03-09,29,0,9,0,47607,6.09,0.00,1.89,0.00
21111,2020-03-09,2,0,1,0,11866,1.69,0.00,0.84,0.00
12015,2020-03-09,3,0,1,0,32001,0.94,0.00,0.31,0.00
53063,2020-03-09,28,0,0,0,18648,15.02,0.00,0.00,0.00
34017,2020-03-09,1,0,1,0,1823,5.49,0.00,5.49,0.00
6001,2020-03-09,39,0,23,0,65534,5.95,0.00,3.51,0.00
42045,2020-03-09,4,0,1,0,4484,8.92,0.00,2.23,0.00
21097,2020-03-09,2,0,1,0,2452,8.16,0.00,4.08,0.00
53071,2020-03-09,7,0,0,0,92169,0.76,0.00,0.00,0.00
34007,2020-03-09,4,0,1,0,16096,2.49,0.00,0.62,0.00
45055,2020-03-09,11,0,5,0,280,392.86,0.00,178.57,0.00
34003,2020-03-09,18,0,5,0,45792,3.93,0.00,1.09,0.00
33015,2020-03-09,3,0,1,0,9645,3.11,0.00,1.04,0.00
33009,2020-03-09,17,0,2,0,43771,3.88,0.00,0.46,0.00
13135,2020-03-09,4,0,2,0,22071,1.81,0.00,0.91,0.00
48157,2020-03-09,20,0,6,0,57558,3.47,0.00,1.04,0.00
12127,2020-03-09,4,0,2,0,26892,1.49,0.00,0.74,0.00
12011,2020-03-09,10,0,3,0,892,112.11,0.00,33.63,0.00
4013,2020-03-09,14,0,1,0,11186,12.52,0.00,0.89,0.00
51810,2020-03-09,1,0,1,0,248,40.32,0.00,40.32,0.00
17031,2020-03-09,43,0,7,0,130102,3.31,0.00,0.54,0.00
41047,2020-03-09,2,0,1,0,11834,1.69,0.00,0.85,0.00
18063,2020-03-09,3,0,2,0,50850,0.59,0.00,0.39,0.00
24033,2020-03-09,1,0,1,0,12566,0.80,0.00,0.80,0.00
36119,2020-03-09,306,0,97,0,56310,54.34,0.00,17.23,0.00
24031,2020-03-09,17,0,4,0,131335,1.29,0.00,0.30,0.00
6113,2020-03-09,4,0,1,0,134480,0.30,0.00,0.07,0.00
49035,2020-03-09,7,0,0,0,183876,0.38,0.00,0.00,0.00
13067,2020-03-09,8,0,4,0,156099,0.51,0.00,0.26,0.00
24025,2020-03-09,2,0,1,0,24748,0.81,0.00,0.40,0.00
11001,2020-03-09,6,0,4,0,92925,0.65,0.00,0.43,0.00
19155,2020-03-09,1,0,1,0,121,82.64,0.00,82.64,0.00
41035,2020-03-09,3,0,1,0,138645,0.22,0.00,0.07,0.00
47037,2020-03-09,2,0,1,0,1866,10.72,0.00,5.36,0.00
41029,2020-03-09,6,0,2,0,133716,0.45,0.00,0.15,0.00
47157,2020-03-09,2,0,1,0,1780,11.24,0.00,5.62,0.00
777777,2020-03-09,59,0,19,0,597093,0.99,0.00,0.32,0.00
8041,2020-03-09,4,0,1,0,129552,0.31,0.00,0.08,0.00
49053,2020-03-09,4,0,1,0,1124,35.59,0.00,8.90,0.00
19103,2020-03-09,10,0,7,0,13742,7.28,0.00,5.09,0.00
8037,2020-03-09,5,0,2,0,7696,6.50,0.00,2.60,0.00
8035,2020-03-09,13,0,3,0,36510,3.56,0.00,0.82,0.00
13115,2020-03-09,1,0,1,0,23854,0.42,0.00,0.42,0.00
36111,2020-03-09,2,0,1,0,83754,0.24,0.00,0.12,0.00
13233,2020-03-09,4,0,1,0,62412,0.64,0.00,0.16,0.00
37183,2020-03-09,12,0,6,0,169358,0.71,0.00,0.35,0.00
22051,2020-03-09,1,0,1,0,60308,0.17,0.00,0.17,0.00
41019,2020-03-09,2,0,1,0,31602,0.63,0.00,0.32,0.00
13089,2020-03-09,2,0,2,0,1656,12.08,0.00,12.08,0.00
8005,2020-03-09,1,0,1,0,21759,0.46,0.00,0.46,0.00
8069,2020-03-09,1,0,1,0,3738,2.68,0.00,2.68,0.00
8031,2020-03-09,9,0,3,0,102304,0.88,0.00,0.29,0.00
6097,2020-03-09,20,0,1,0,97559,2.05,0.00,0.10,0.00
37037,2020-03-09,4,0,1,0,90708,0.44,0.00,0.11,0.00
25003,2020-03-09,7,0,5,0,6927,10.11,0.00,7.22,0.00
36091,2020-03-09,6,0,2,0,35046,1.71,0.00,0.57,0.00
13057,2020-03-09,2,0,1,0,15848,1.26,0.00,0.63,0.00
47187,2020-03-09,6,0,2,0,975,61.54,0.00,20.51,0.00
6087,2020-03-09,4,0,2,0,158007,0.25,0.00,0.13,0.00
6095,2020-03-09,84,0,0,0,282380,2.97,0.00,0.00,0.00
25017,2020-03-09,32,0,15,0,41345,7.74,0.00,3.63,0.00
36103,2020-03-09,2,0,1,0,65140,0.31,0.00,0.15,0.00
6089,2020-03-09,1,0,1,0,14445,0.69,0.00,0.69,0.00
51199,2020-03-16,1,0,1,0,29254,0.34,0.00,0.34,0.00
13089,2020-03-16,42,0,8,0,11592,36.23,0.00,6.90,0.00
37085,2020-03-16,6,0,2,0,107289,0.56,0.00,0.19,0.00
12127,2020-03-16,27,0,5,0,62748,4.30,0.00,0.80,0.00
41059,2020-03-16,11,0,2,0,1614,68.15,0.00,12.39,0.00
32510,2020-03-16,5,0,1,0,25615,1.95,0.00,0.39,0.00
32031,2020-03-16,30,0,7,0,32438,9.25,0.00,2.16,0.00
42079,2020-03-16,2,0,1,0,938,21.32,0.00,10.66,0.00
53013,2020-03-16,5,0,1,0,31610,1.58,0.00,0.32,0.00
42077,2020-03-16,2,0,1,0,55452,0.36,0.00,0.18,0.00
41019,2020-03-16,7,0,0,0,110607,0.63,0.00,0.00,0.00
32003,2020-03-16,98,1,33,1,25613,38.26,0.39042673642291026,12.88,0.39042673642291026
36079,2020-03-16,4,0,2,0,6886,5.81,0.00,2.90,0.00
50007,2020-03-16,10,0,4,0,54528,1.83,0.00,0.73,0.00
41053,2020-03-16,6,0,1,0,58122,1.03,0.00,0.17,0.00
37101,2020-03-16,8,0,2,0,245860,0.33,0.00,0.08,0.00
5119,2020-03-16,36,0,10,0,81960,4.39,0.00,1.22,0.00
13095,2020-03-16,12,0,6,0,129070,0.93,0.00,0.46,0.00
18057,2020-03-16,2,0,1,0,48026,0.42,0.00,0.21,0.00
37119,2020-03-16,14,0,4,0,23875,5.86,0.00,1.68,0.00
48339,2020-03-16,9,0,3,0,21917,4.11,0.00,1.37,0.00
13135,2020-03-16,19,0,3,0,51499,3.69,0.00,0.58,0.00
40143,2020-03-16,16,0,2,0,0,inf,,inf,
49011,2020-03-16,13,0,3,0,16947,7.67,0.00,1.77,0.00
37063,2020-03-16,1,0,1,0,9779,1.02,0.00,1.02,0.00
13115,2020-03-16,18,0,3,0,166978,1.08,0.00,0.18,0.00
34007,2020-03-16,12,0,2,0,28168,4.26,0.00,0.71,0.00
37067,2020-03-16,10,0,2,0,178045,0.56,0.00,0.11,0.00
53071,2020-03-16,7,0,0,0,92169,0.76,0.00,0.00,0.00
34005,2020-03-16,21,0,5,0,75586,2.78,0.00,0.66,0.00
42045,2020-03-16,29,0,6,0,7847,36.96,0.00,7.65,0.00
49049,2020-03-16,2,0,1,0,84162,0.24,0.00,0.12,0.00
34003,2020-03-16,172,8,56,2,53424,32.20,1.497454327643007,10.48,0.37436358191075175
5125,2020-03-16,2,0,1,0,2142,9.34,0.00,4.67,0.00
53073,2020-03-16,12,0,3,0,15260,7.86,0.00,1.97,0.00
39013,2020-03-16,6,0,2,0,43950,1.37,0.00,0.46,0.00
51095,2020-03-16,39,3,10,1,6040,64.57,4.966887417218543,16.56,1.6556291390728477
33015,2020-03-16,34,0,9,0,22505,15.11,0.00,4.00,0.00
4021,2020-03-16,33,0,2,0,31871,10.35,0.00,0.63,0.00
53077,2020-03-16,15,0,4,0,23565,6.37,0.00,1.70,0.00
8041,2020-03-16,18,9,5,2,226716,0.79,0.3969724236489705,0.22,0.09
33011,2020-03-16,2,0,1,0,6784,2.95,0.00,1.47,0.00
39017,2020-03-16,16,0,6,0,102669,1.56,0.00,0.58,0.00
33009,2020-03-16,23,0,2,0,43771,5.25,0.00,0.46,0.00
8069,2020-03-16,8,0,1,0,26166,3.06,0.00,0.38,0.00
37183,2020-03-16,70,0,9,0,169358,4.13,0.00,0.53,0.00
41017,2020-03-16,16,0,6,0,262218,0.61,0.00,0.23,0.00
33003,2020-03-16,1,0,1,0,11301,0.88,0.00,0.88,0.00
20091,2020-03-16,29,0,7,0,9940,29.18,0.00,7.04,0.00
13233,2020-03-16,7,0,0,0,109221,0.64,0.00,0.00,0.00
