tractid,"% white, non-Hispanic","% black, non-Hispanic",% Hispanic,% Native American race,% Asian and Pacific Islander race,% Hawaiian race,% Indian birth/race,% Chinese birth/race,% Filipino birth/race,% Japanese birth/race,% Korean birth/race,% Vietnamese race,"% 15 and under, non-Hispanic white","% 60 and older, non-Hispanic white","% 15 and under, non-Hispanic black","% 60 and older, non-Hispanic black","% 15 and under, Hispanic","% 60 and older, Hispanic","% 15 and under, Native American","% 60 and older, Native American","% 15 and under, Asian/  Pacific Islanders","% 60 and older, Asian/  Pacific Islanders",% Mexican birth/ethnicity,% Cuban birth/ethnicity,% Puerto Rican birth/ethnicity,% Russian/USSR parentage/ancestry,% Italian parentage/ancestry,% German parentage/ancestry,% Irish parentage/ancestry,% Scandinavian parentage/ancestry,% foreign born,% immigrated in past 10 years,% Naturalized,"% speaking other language at home, age 5+","% speaking English not well, age 5+",% Russian/USSR birth,% Italian birth,% German birth,% Irish birth,% Scandinavian birth,% with high school degree or less,% with 4-year college degree or more,% unemployed,% female labor force participation,% professional employees,% manufacturing employees,% self-employed,% veteran,% with disability,"Median HH income, total","Median HH income, whites","Median HH income, blacks","Median HH income, Hispanics","Median HH income, Asian/ Pacific Islanders",Per capita income,"% in poverty, total","% in poverty, 65+","% in poverty, families with children","% in poverty, whites","% in poverty, African Americans","% in poverty, Hispanics","% in poverty, Native Americans","% in poverty, Asian/ Pacific Islanders",% vacant units,% owner-occupied units,% multi-family units,Median home value,Median rent,% structures more than 30 years old,% HH in neighborhood 10 years or less,"% 17 and under, total","% 60 and older, total","% 75 and older, total","% currently married, not separated","% widowed, divorced and separated",% female-headed families with children,year
01113030200,46.46620426699645,51.48884402509397,1.9114063786587339,0.0783563266221448,0.05518919552657558,0.02611877668458885,0.0,0.0,0.0,0.02907041884198672,0.0,0.0,16.604057229950364,33.80916688328031,34.653459774550434,11.838331792837062,37.73584837603024,0.0,-9999,-9999,-9999,-9999,0.6681736097531566,0.6765825441081205,0.10742674546413153,0.0,0.20319305511242647,0.23222063442664678,2.1480409239031104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.37022914144929,0.26520094814728945,22.194013706442068,35.531527100671354,8.09052855148776,24.563338787100655,0.0,10.35616136016969,21.638072586205805,5281.000064,9325.842418,5784.437138,5281.000064,-9999,2651.449752,45.15317291598576,0.3909931608544151,28.618922412883542,33.809166019304776,56.47194484070443,88.67924189902634,-9999,-9999,6.793005196857325,25.85008260141859,57.942814072374986,18987.97309,69.00000074,57.5626385370968,68.23479056794626,32.45069547939426,20.1961885406417,4.695371234778226,38.31067319949024,32.18062859857727,29.689244362222404,1980
01113030300,94.96522888628695,4.172461709367138,0.4172461762265495,0.08344923260039201,0.33379693045725056,0.02781641196188615,0.0,0.0,0.2503477110536067,0.055632823951613536,0.0,0.0,19.941944809582687,21.48040528558058,25.33333306153538,24.66666693846462,-9999,-9999,-9999,-9999,-9999,-9999,0.27816412632860055,0.0,0.055632823951613536,0.0,0.1668984651729428,2.2253130106844865,12.072322484369701,0.1668984651729428,1.0292072329845594,0.0,1.0292072321493222,1.5797316923496412,0.14903130165925046,0.0,0.0,0.8623087620484797,0.0,0.0,89.31398753499738,3.034300757494748,11.270491731773548,37.3172281957179,11.162432075404508,30.79291760047384,4.926866792960512,19.885959187310995,18.783069346685576,10862.00008,14747.70672,3214.28557,10862.00008,-9999,4962.999972,20.61196126111272,0.0959453397928446,11.163670726060069,17.968068810365832,81.33333326037938,-9999,-9999,-9999,7.916936867615304,66.10288838164598,15.31473075561717,21769.00059,93.99999845,44.77611858983921,51.23326159002252,24.784422544508868,21.72461680969072,4.756606511048655,60.02087675256308,23.7995822908199,12.86660283560181,1980
01113030401,94.63387792878945,4.430351432612993,0.599417435467169,0.11696045936377089,0.1609232689913038,1.3033315293047493e-05,0.0,0.014615169929965156,0.058577979535668574,0.029256406490516407,0.0,0.058460679719860624,21.79498235807706,13.2655779980266,4.084601248688129,52.20857568793895,22.448980566016754,7.142857454209059,-9999,-9999,-9999,-9999,0.26320339180498536,0.014615169929965156,0.1607929358383733,0.0,0.46920371094129343,2.478613677311774,7.394396461260139,7.844064065326765e-05,0.997374874921377,0.131941479744356,0.7628122668572611,2.3241454903343746,0.10922295085125712,0.0,0.11728131533074941,0.46953053807585626,0.0,0.0,69.8352538721137,13.870654721477779,4.0949887503196045,52.87519538898885,30.429100418595766,21.210840255934222,7.300015575274818,18.88173224298315,11.116877108701285,19107.6663,21562.974,3214.28571,19107.6663,-9999,7292.907723,7.802258756508849,0.01712079891002582,4.564521686786568,7.62533469157294,14.131769742562899,20.408164159237597,-9999,-9999,6.105167124819426,73.5364760516304,17.77221601584778,40440.20659,184.9389565,12.33956776688405,71.35992273984267,27.31275072683696,13.061525775434546,3.5098693133076604,65.44036632685307,15.88692294675863,6.268781830460603,1980
01113030402,94.63260474691234,4.431510853615001,0.599512853203561,0.11696283873651825,0.16093028670963885,1.5350746049011265e-05,9.277974622899272e-06,0.014612858686289773,0.05856871601669867,0.029268016379074887,4.638987311449636e-06,0.05845143474515909,21.794983184049677,13.26557846199894,4.095599428710367,52.189596656904925,22.448980312624734,7.142857579917432,-9999,-9999,-9999,-9999,0.26328236354634404,0.014612858686289773,0.16078373768399723,9.306533584001258e-06,0.4691758155258187,2.4786090181856455,7.394228584211025,0.00010169456717024915,0.99739814531198,0.13196940613183109,0.7627936160956332,2.3240436142913814,0.10923789242033959,0.0,0.1172627082321103,0.469523517549904,0.0,0.0,69.8370724560509,13.869764307072108,4.095430751681688,52.87462584249231,30.42714839620958,21.21217804765738,7.299953373186674,18.881549595940918,11.117099521388123,19107.22944,21562.61639,7936.220708,19107.22944,-9999,7292.694585,7.802830765816483,0.01712186559945895,4.564655785482591,7.6253351246565355,14.136906006869044,20.40816364038929,-9999,-9999,6.105192017117706,73.53808050875212,17.77010052028691,40438.91785,184.932561,12.339869517383082,71.35898985585798,27.313348480253193,13.06120422138234,3.5096273640927973,65.44046477776705,15.886473606027822,6.268662936154696,1980
01113030500,96.23047968219916,2.369413041979162,1.0770059281723465,0.0,0.2154011856344693,0.0,0.0,0.053850296408617326,0.0,0.16155088922585198,0.0,0.0,19.97880233174351,17.8060413354531,-9999,-9999,29.545454545454547,0.0,-9999,-9999,-9999,-9999,0.6462035569034079,0.0,0.053850296408617326,0.0,0.5586592204306414,1.6251904594345934,7.059421058169015,0.0,2.8948705058678694,0.6094464197486124,2.1330624688662074,2.185792359282152,0.7650273257487533,0.0,0.0,0.40629761308109624,0.0,0.0,83.52745424292846,5.740432612312812,6.287425149700598,52.74056029232643,14.802981895633653,22.896698615548456,5.644302449414271,18.94243641231593,11.902897415818325,14309.99994,14571.42905,-9999,14309.99994,-9999,6457.999972,10.687022949711556,0.15539109928677858,5.582922824302135,11.152416404258805,-9999,0.0,-9999,-9999,10.850801479654747,65.42185338865836,15.393939393939394,28305.99988,102.9999995,27.87878787878788,63.32882273342354,24.286483680286413,18.686052853790212,4.469574601915238,63.228399196249164,21.366376423308775,7.389162561576355,1980
01113030600,67.32577367892038,31.46733734493107,0.6586133400954285,0.1317434631522143,0.21955902152168882,4.329196029154523e-05,5.992248459651914e-05,0.0,0.08758616401519105,0.08769758437862982,0.04393522690440811,8.988372689477871e-05,23.581437094887757,12.612553072269646,27.145358451632294,10.16639513379694,26.314926708032797,7.898398022915136,-9999,-9999,-9999,-9999,0.4167844747945209,1.5964976463101798e-05,0.10966884469518358,0.0,0.0006965909066938527,1.5545322523389629,5.28401955501345,0.0004416799256349504,0.4009931508022979,0.08941933689827991,0.40011894899999506,1.5173905693385432,0.16819170958747043,0.0,0.0,0.39938210442311806,0.0,0.0,86.64370451182472,4.973145783125554,7.815323264009771,54.78364463010156,13.741672544309406,32.61542852563587,3.9689758075978383,16.179833278981082,13.525267785537373,12330.13191,15853.60866,12332.45304,12330.13191,-9999,4939.44425,21.290256285290408,0.07124648617614125,12.631495455258959,15.159943282009374,32.23814892652282,44.73659739412995,-9999,-9999,6.2163133978624705,64.6003213184525,18.233011555713755,27339.01831,142.8792463,18.707485208135655,71.27160744166537,31.803423384561945,11.431942288663427,1.9367748765864274,58.961535979970485,18.50504770648884,14.448122555923911,1980
01113030700,54.38386998243294,44.630987503521716,0.6786850899838779,0.11562188841451232,0.19070816712025707,0.029568418505999686,0.05366234791570791,0.0,5.6972778024404684e-05,0.0268984212834601,2.8486389012202342e-05,0.08049352027492067,20.729232573976038,18.250241732683758,23.56351382619841,16.98961396425503,32.04322406520208,3.9353378595231496,-9999,-9999,-9999,-9999,0.32292981382806574,0.04661535365882937,0.06195557183844607,0.0,0.6180359044827949,1.5594244353445432,1.884915592830348,0.16120797029411424,0.7525605992139562,0.053793041654278846,0.5913526267405539,1.2506495711013177,0.00010799292525744947,0.0,0.0,0.37640866398078004,0.0,0.0,93.12260681285363,3.417178905693792,12.792529860718174,47.85394588909791,10.780736830463256,35.13346465572024,4.393741320644822,16.178007489568728,18.948398858982742,9647.090397,12734.46525,5561.067208,9647.090397,-9999,4401.94637,32.631215851833694,0.12327146212719174,15.468454585636632,20.67812677307872,47.6236463928293,66.77500438605065,-9999,-9999,11.621859712648233,51.73770277386679,25.511195911586032,16755.88661,100.1196734,44.27712013412404,54.01311412675776,26.750212550363088,18.401945922703487,4.55053820663288,50.37281511051786,27.087558415713545,16.95542863253049,1980
01113030800,5.3069718359174285,93.52757372948858,1.1238293422760903,0.0,0.04162330852067253,0.04162330852067253,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,18.181817527468407,42.424240417569784,-9999,-9999,-9999,-9999,0.9989594241447397,0.0,0.06243496399863914,0.0,0.0,0.16684045663471989,0.417101156499985,0.0,0.10427528912499626,0.0,0.10427528674722963,2.462941841588957,0.25085519167464954,0.0,0.0,0.0,0.0,0.0,92.32006963995715,2.33212709996568,14.542294174638847,44.164882600411694,4.677966233098477,51.25423719824241,1.9661016621045873,9.522351722980234,15.889526247203142,7358.999973,-9999,9056.450594,7358.999973,-9999,3601.00017,40.020854694381285,0.11699709638048876,26.518883272002373,-9999,-9999,42.424240417569784,-9999,-9999,5.595667918791544,43.275972473414434,36.91194307336393,-9999,61.00000025,31.664657570537663,68.6462348510255,35.587929200522254,15.067638052936317,3.5796046369736922,41.774005279025765,28.04449626982771,25.53366170014957,1980
01113030901,91.7457675208327,7.615473237213319,0.3915226646709952,0.12359925457173784,0.18540960196781195,7.143448897543876e-06,0.0,0.0,0.0,0.04119975151702717,0.06181748592876908,0.0,25.740357758763125,12.230554735308727,30.05067391311357,7.660514345770683,-9999,-9999,-9999,-9999,-9999,-9999,0.12364211530643571,1.4286897795087753e-05,0.06179605556142015,0.0,0.0,1.7417765286659277,7.112423333345728,0.1451306628732217,0.4983242934889762,0.1663310180203756,0.33210834092439767,1.013392054788434,0.0,0.0,0.0,0.2074805239989649,0.0,0.0,88.71728650216471,3.553315751049828,10.795340056549165,50.11277962682837,8.219662008718746,41.452802319106326,3.833192136946353,17.22545400908779,12.041477671681905,14468.49749,15645.16092,19152.9412,14468.49749,-9999,5111.773153,15.825123839000307,0.04602565358528279,8.48942681461868,16.29224728350084,10.149200097867734,-9999,-9999,-9999,5.830487870408226,78.78527055104058,2.7788451234539226,27472.29177,114.9924545,17.94113310779737,68.25407179502534,30.59419145506391,11.619251534710322,2.204318953652267,68.34233144003423,13.818457658661302,4.5437657963290095,1980
01113030902,38.54535338054737,60.392156620841476,0.7548633736123198,0.08395769425894066,0.16785059813143183,0.027942705026635983,0.0,0.0,0.0,0.027985898636244046,0.11183561054891858,0.0,23.73255752043412,10.899344037245466,28.116597858942995,12.649393090562013,-9999,-9999,-9999,-9999,-9999,-9999,0.25161393448528074,0.05588541008123453,0.02800749544104807,0.0,0.0,0.8121581784989015,3.9752993819933002,0.00015117865045350925,2.850693802530153,1.8164611305632468,1.4813191328951363,1.4285723467389275,0.0,0.0,0.0,0.5870168225929184,0.0,0.0,85.91715225233636,4.407632892106843,6.748174481952071,46.387070153386915,7.308766598779807,43.459175914006416,6.53527524619403,8.915143187208667,9.770263182725781,12217.70749,15645.16121,12141.48463,12217.70749,-9999,4223.931834,22.87376853814056,0.07508339894669215,12.81236928950418,12.697048575191289,29.59117676405452,-9999,-9999,-9999,11.699902826376228,75.26100242213514,7.143935085657416,24155.17072,86.02982544,23.330158438148043,64.43023087616982,33.98245753086066,11.496632525788087,2.014185687393646,54.890996651883995,16.505673862468278,12.115633279196599,1980
