tractid,period,pop19,nhwht19,nhblk19,hisp19,ntv19,asian19,haw19,india19,china19,filip19,japan19,korea19,viet19,agewht19,a15wht19,a65wht19,ageblk19,a15blk19,a65blk19,agehsp19,a15hsp19,a65hsp19,agentv19,a15ntv19,a65ntv19,ageasn19,a15asn19,a65asn19,mex19,cuban19,pr19,ruanc19,itanc19,geanc19,iranc19,scanc19,fb19,n10imm19,nat19,ag5up19,olang19,lep19,rufb19,itfb19,gefb19,irfb19,scfb19,ag25up19,hs19,col19,clf19,unemp19,dflabf19,flabf19,empclf19,prof19,manuf19,semp19,ag18cv19,vet19,hinc19,hh19,hincw19,hhw19,hincb19,hhb19,hinch19,hhh19,hinca19,hha19,incpc19,dpov19,npov19,n65pov19,dfmpov19,nfmpov19,dwpov19,nwpov19,dbpov19,nbpov19,dhpov19,nhpov19,dnapov19,nnapov19,dapov19,napov19,hu19,vac19,ohu19,own19,rent19,dmulti19,multi19,mhmval19,mrent19,h30old19,h10yrs19,a18und19,a60up19,a75up19,ag15up19,19-Mar,wds19,family19,fhh19,pnhwht19,pnhblk19,phisp19,pntv19,pasian19,phaw19,pindia19,pchina19,pfilip19,pjapan19,pkorea19,pviet19,p15wht19,p65wht19,p15blk19,p65blk19,p15hsp19,p65hsp19,p15ntv19,p65ntv19,p15asn19,p65asn19,pmex19,pcuban19,ppr19,pruanc19,pitanc19,pgeanc19,piranc19,pscanc19,pfb19,p10imm19,pnat19,polang19,plep19,prufb19,pitfb19,pgefb19,pirfb19,pscfb19,phs19,pcol19,punemp19,pflabf19,pprof19,pmanuf19,psemp19,pvet19,ppov19,p65pov19,pfmpov19,pwpov19,pbpov19,phpov19,pnapov19,papov19,pvac19,pown19,pmulti19,p30old19,p10yrs19,p18und19,p60up19,p75up19,pmar19,pwds19,pfhh19
48453002435,2019,8318,1033,525,6437,0,238,0,0,0,0,0,29,90,1033,35,331,705,155,53,6437,1867,269,180,0,19,238,0,14,5679,87,0,0,20,58,25,0,1809,40,958,NA,NA,509,0,0,0,1,0,4928,3126,499,4651,92,2909,2116,4559,1103,227,200,5565,295,62418,2212,60724,405,78167,258,62075,1483,NA,66,23997,8293,1134,63,1863,189,1033,110,704,216,6412,808,180,19,238,0,2566,354,2212,1696,516,2566,0,164800,1006,359,1016,2713,988,203,6232,2492,1086,1863,423,12.41885069,6.311613369,77.38639096,0,2.861264727,0,0,0,0,0,0.3486415,1.081990863,3.388189739,32.04259439,21.9858156,7.517730496,29.0041945,4.178965357,0,10.55555556,0,5.882352941,68.27362347,1.045924501,0,0,0.240442414,0.697283001,0.300553018,0,21.74801635,0.480884828,11.51719163,NA,NA,0,0,0,0.012022121,0,63.43344156,10.12581169,1.978069232,72.73977312,24.19390217,4.979162097,4.386926958,5.30098832,13.67418305,0.759676836,10.14492754,10.64859632,30.68181818,12.60137243,10.55555556,0,13.79579111,76.67269439,0,13.99064692,45.93128391,32.61601346,11.87785525,2.440490503,39.98716303,17.42618742,22.70531401
48453002436,2019,2768,335,72,2318,0,0,0,0,0,0,0,4,0,335,12,65,110,26,11,2318,358,354,73,12,18,4,0,0,1956,17,16,0,0,18,0,0,771,125,229,NA,NA,375,0,0,0,0,0,2016,1548,148,1509,37,1070,579,1472,147,63,98,2233,142,63125,748,39531,167,NA,17,64410,541,NA,4,20661,2768,294,6,601,31,335,34,110,18,2318,254,73,0,4,0,833,85,748,597,151,833,58,148400,837,412,242,535,597,122,2381,1162,335,601,21,12.10260116,2.601156069,83.74277457,0,0,0,0,0,0,0,0.144508671,0,3.582089552,19.40298507,23.63636364,10,15.44434858,15.27178602,16.43835616,24.65753425,0,0,70.66473988,0.61416185,0.578034682,0,0,0.650289017,0,0,27.85404624,4.515895954,8.273121387,NA,NA,0,0,0,0,0,76.78571429,7.341269841,2.451954937,54.11214953,9.986413043,4.279891304,6.657608696,6.359158083,10.62138728,0.216763006,5.158069884,10.14925373,16.36363636,10.95772217,0,0,10.20408163,79.81283422,6.962785114,49.45978391,32.35294118,19.32803468,21.56791908,4.407514451,48.80302394,14.06971861,3.494176373
48453002500,2019,6056,3998,332,1085,0,422,0,198,18,53,67,11,74,3998,515,725,332,99,0,1085,166,93,0,0,0,458,88,22,497,38,124,18,45,197,198,17,950,282,508,NA,NA,37,18,0,0,0,0,4632,565,2686,3836,280,2480,1731,3556,2221,212,149,4948,406,72813,3003,78654,2214,27938,187,64063,379,128317,173,47798,6027,594,74,1304,61,3998,282,305,123,1083,151,0,0,458,0,3182,179,3003,1141,1862,3182,1824,430500,1106,1700,2178,1108,1116,313,5122,2156,1064,1304,123,66.01717305,5.482166446,17.91611625,0,6.968295905,0,3.269484808,0.297225892,0.875165125,1.106340819,0.181638045,1.221928666,12.88144072,18.13406703,29.81927711,0,15.29953917,8.571428571,NA,NA,19.2139738,4.80349345,8.20673712,0.627476882,2.047556143,0.297225892,0.743064729,3.252972259,3.269484808,0.280713342,15.68692206,4.65653897,8.388375165,NA,NA,0.297225892,0,0,0,0,12.19775475,57.98791019,7.299270073,69.7983871,62.45781777,5.961754781,4.190101237,8.205335489,9.855649577,1.227808196,4.67791411,7.053526763,40.32786885,13.94275162,NA,0,5.625392835,37.995338,57.32243872,53.42551854,72.52747253,18.29590489,18.42800528,5.168428005,42.09293245,20.77313549,9.432515337
48453980000,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48453002105,2019,5090,1457,624,2850,0,76,0,22,6,11,0,12,37,1457,94,90,653,120,146,2850,671,139,34,0,0,76,0,0,2293,42,0,0,16,86,69,30,1416,535,95,NA,NA,952,0,0,4,0,5,3651,1824,1037,3185,123,1935,1258,3062,872,32,146,4111,204,43480,2099,57094,729,28678,321,40434,935,NA,47,26005,5062,1358,94,893,165,1441,69,647,255,2844,969,34,9,76,31,2474,375,2099,324,1775,2474,1855,327600,942,1868,1807,979,591,215,4214,1190,643,893,166,28.62475442,12.25933202,55.99214145,0,1.493123772,0,0.432220039,0.117878193,0.21611002,0,0.235756385,0.726915521,6.451612903,6.177076184,18.37672282,22.35834609,23.54385965,4.877192982,0,0,0,0,45.04911591,0.825147348,0,0,0.314341847,1.689587426,1.355599214,0.589390963,27.81925344,10.5108055,1.866404715,NA,NA,0,0,0.078585462,0,0.098231827,49.95891537,28.40317721,3.861852433,65.0129199,28.47811888,1.045068583,4.768125408,4.962296278,26.82734097,1.856973528,18.47704367,4.78834143,39.41267388,34.07172996,26.47058824,40.78947368,15.15763945,15.43592187,74.97978981,75.50525465,86.08861363,19.23379175,11.61100196,4.223968566,28.23920266,15.2586616,18.58902576
48453002109,2019,4243,1544,1524,980,48,89,0,24,30,9,0,26,0,1544,117,49,1566,85,466,980,224,99,55,0,35,89,0,0,854,0,12,0,0,68,31,15,391,47,64,NA,NA,119,0,0,0,0,0,3333,1027,1315,2581,13,1973,1250,2568,1268,127,117,3760,198,53618,1611,101343,569,47578,617,NA,331,NA,38,32229,4220,861,198,817,28,1521,221,1566,179,980,382,55,42,89,44,1763,152,1611,901,710,1763,321,317700,851,1152,962,470,828,326,3817,1318,1021,817,92,36.38934716,35.91798256,23.09686543,1.131275041,2.097572472,0,0.565637521,0.707046901,0.21211407,0,0.612773981,0,7.577720207,3.17357513,5.427841635,29.75734355,22.85714286,10.10204082,0,63.63636364,0,0,20.12726844,0,0.28281876,0,0,1.602639642,0.730615131,0.35352345,9.21517794,1.107706811,1.508366722,NA,NA,0,0,0,0,0,30.81308131,39.45394539,0.503680744,63.3552965,49.37694704,4.945482866,4.556074766,5.265957447,20.4028436,4.691943128,3.427172583,14.52991453,11.43039591,38.97959184,76.36363636,49.43820225,8.621667612,55.92799503,18.20760068,65.34316506,59.71446307,11.07706811,19.51449446,7.683242988,34.52973539,26.74875557,11.26070991
48453002308,2019,6467,2744,529,2916,4,155,0,64,31,16,8,35,25,2744,124,254,601,0,0,2916,561,230,149,73,0,172,0,0,2380,23,58,0,71,122,90,0,928,479,291,NA,NA,174,0,9,9,0,0,4189,978,2188,3888,152,3117,1880,3736,1584,61,175,5647,106,53214,2684,71101,1237,62036,271,35197,1132,85164,71,29530,5321,1300,142,768,131,2213,432,388,18,2627,832,145,145,85,0,2911,227,2684,471,2213,2911,2145,412200,1076,2006,1999,820,615,162,5782,1021,646,768,188,42.43080254,8.179990722,45.09045925,0.061852482,2.396783671,0,0.989639709,0.479356734,0.247409927,0.123704964,0.541209216,0.386578011,4.518950437,9.256559767,0,0,19.23868313,7.887517147,48.99328859,0,0,0,36.80222669,0.355651771,0.896860987,0,1.097881552,1.886500696,1.391680841,0,14.34977578,7.406834699,4.499768053,NA,NA,0,0.139168084,0.139168084,0,0,23.34686083,52.23203629,3.909465021,60.31440488,42.39828694,1.632762313,4.684154176,1.877102886,24.43149784,2.668671302,17.05729167,19.5210122,4.639175258,31.67110773,100,0,7.798007558,17.54843517,73.68601855,68.91102714,74.47839046,12.67975878,9.509819081,2.505025514,17.65824974,11.17260464,24.47916667
48453002313,2019,4589,1239,761,2281,26,109,13,74,0,14,10,6,10,1239,39,103,798,325,25,2281,720,47,26,0,0,109,0,0,1920,127,0,0,23,151,89,12,946,328,161,NA,NA,521,0,0,32,0,0,2984,1293,880,2752,88,1874,1377,2664,971,175,146,3397,69,43899,2079,48788,836,40096,291,39479,803,NA,38,24512,4589,1211,71,883,226,1239,117,798,336,2281,598,26,0,109,51,2261,182,2079,239,1840,2261,1939,274500,937,1241,1669,1192,343,69,3454,857,700,883,364,26.99934626,16.58313358,49.70581826,0.566572238,2.375245151,0.283286119,1.612551754,0,0.305077359,0.217912399,0.13074744,0.217912399,3.147699758,8.313155771,40.72681704,3.13283208,31.56510302,2.060499781,0,0,0,0,41.83918065,2.76748747,0,0,0.501198518,3.290477228,1.939420353,0.261494879,20.61451297,7.147526694,3.508389627,NA,NA,0,0,0.697319677,0,0,43.3310992,29.49061662,3.197674419,73.4791889,36.44894895,6.569069069,5.48048048,2.031204004,26.38919154,1.547178034,25.59456399,9.443099274,42.10526316,26.21657168,0,46.78899083,8.049535604,11.4959115,85.75851393,54.88721805,80.27898028,25.97515799,7.474395293,1.503595555,24.81181239,20.26635785,41.22310306
48453001716,2019,7296,4191,1011,1239,34,361,0,439,50,16,128,0,36,4191,521,707,1011,451,45,1239,187,0,34,0,0,361,81,46,939,0,188,30,34,356,168,59,751,162,414,NA,NA,0,0,0,61,17,0,5460,411,3932,4668,150,3159,2440,4518,3330,546,303,5670,238,115478,3099,108636,2184,88947,153,125417,521,221484,109,71657,7296,221,43,1856,0,4191,194,1011,14,1239,13,34,0,361,0,3260,161,3099,1537,1562,3260,1619,530800,1425,1136,2178,1626,1173,311,5858,3163,547,1856,198,57.44243421,13.85690789,16.98190789,0.466008772,4.947916667,0,6.016995614,0.685307018,0.219298246,1.754385965,0,0.493421053,12.43140062,16.86948222,44.60929773,4.451038576,15.09281679,0,0,0,22.43767313,12.74238227,12.87006579,0,2.576754386,0.411184211,0.466008772,4.879385965,2.302631579,0.808662281,10.2933114,2.220394737,5.674342105,NA,NA,0,0,0.836074561,0.233004386,0,7.527472527,72.01465201,3.213367609,77.2396328,73.70517928,12.08499336,6.706507304,4.197530864,3.029057018,0.589364035,0,4.628966834,1.384767557,1.049233253,0,0,4.938650307,49.59664408,49.66257669,34.84662577,70.28073572,22.28618421,16.07730263,4.262609649,53.99453738,9.337657904,10.66810345
48453001754,2019,5029,3577,240,845,0,251,0,138,94,24,0,25,8,3577,634,633,240,0,62,845,119,16,0,0,0,251,0,28,550,14,0,28,16,192,191,39,527,28,199,NA,NA,0,9,0,0,0,0,3715,565,2299,3006,66,2159,1432,2940,1960,226,225,4148,197,65985,2310,85859,1639,38184,163,52167,326,114792,148,50427,4826,228,54,1091,0,3437,139,209,30,821,46,0,0,243,0,2425,115,2310,1211,1099,2425,1153,395400,1044,2060,1560,867,1018,212,4217,1742,1060,1091,44,71.12746073,4.772320541,16.80254524,0,4.991051899,0,2.744084311,1.869158879,0.477232054,0,0.497116723,0.159077351,17.72435001,17.69639363,0,25.83333333,14.08284024,1.893491124,NA,NA,0,11.15537849,10.93656791,0.278385365,0,0.55677073,0.318154703,3.817856433,3.797971764,0.775502088,10.47922052,0.55677073,3.957049115,NA,NA,0.17896202,0,0,0,0,15.20861373,61.88425303,2.195608782,66.32700324,66.66666667,7.68707483,7.653061224,4.74927676,4.724409449,1.11893908,0,4.044224614,14.35406699,5.602923264,NA,0,4.742268041,52.42424242,47.54639175,84.94845361,67.53246753,17.24000795,20.24259296,4.215549811,41.30898743,25.13635286,4.03299725
