tractid,period,pop19,nhwht19,nhblk19,hisp19,asian19,fb19,n10imm19,col19,unemp19,prof19,manuf19,npov19,vac19,own19,dmulti19,multi19,h30old19,h10yrs19,a18und19,a60up19
48113019038,2019,1639,668,449,218,245,348,205,807,23,933,166,113,387,7,1396,1344,74,996,137,119
48355005416,2019,3855,2008,31,1470,262,450,29,1450,23,806,171,202,13,1176,1276,11,179,689,998,870
48355005417,2019,6209,1946,275,3385,515,727,186,1379,59,1427,286,196,171,1634,2145,7,265,1338,2055,602
48355006200,2019,9104,7788,90,1071,124,439,28,3491,41,2926,396,664,2602,3063,6985,2641,2628,3055,1161,2941
48355006300,2019,2747,820,115,1799,0,78,0,370,63,375,71,590,297,453,1280,705,731,628,842,472
48355006400,2019,2687,990,375,1277,10,190,16,343,9,176,48,490,351,75,1316,983,1192,790,67,1012
48355980000,2019,13,3,0,10,0,0,0,13,0,8,0,0,0,3,3,0,3,3,0,0
48355990000,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48363000400,2019,5514,5091,0,286,0,85,21,601,131,679,214,738,735,1719,2554,0,1730,820,1383,1740
48361021501,2019,2377,2157,5,148,4,62,16,143,50,247,139,387,153,643,922,16,388,306,740,438
48361021502,2019,6565,5806,4,647,0,48,0,609,77,944,467,526,480,2194,3276,260,2177,1311,1269,1778
48363000100,2019,2827,2478,0,254,36,116,8,415,39,464,103,324,1844,951,2970,182,1783,489,542,1054
48363000200,2019,2060,1535,3,476,16,165,15,319,32,318,75,308,1057,700,1924,249,1071,402,442,688
48363000300,2019,3960,3522,37,320,0,211,21,890,57,545,151,280,671,1366,2250,0,1094,661,720,1415
48363000500,2019,2041,1342,23,569,13,160,12,166,69,246,57,314,296,384,979,295,918,396,494,329
48363000600,2019,3528,2838,0,546,97,169,81,478,199,383,221,830,105,627,1388,422,1149,913,740,751
48363000700,2019,3055,1913,181,846,93,379,25,213,88,444,145,406,127,802,1217,77,1050,552,683,593
48363000800,2019,3387,1323,311,1753,0,598,59,91,187,178,238,1188,149,548,1267,385,975,603,1018,715
48363000900,2019,2168,1377,160,624,0,128,76,50,137,175,106,709,265,359,955,104,858,377,664,474
48367140101,2019,5317,3890,370,760,44,251,96,639,122,690,272,644,149,730,1756,567,356,1031,1478,951
48367140102,2019,5553,3636,313,1526,7,407,30,386,100,444,175,580,160,910,1886,353,1477,995,1519,1059
48093950100,2019,4050,3101,43,811,7,282,5,686,68,584,242,625,561,1381,2293,88,1779,618,774,1263
48093950400,2019,1856,1192,1,641,21,275,72,227,59,256,116,323,461,484,1145,0,760,292,465,468
48093950300,2019,4310,2293,37,1966,14,342,0,516,49,589,234,326,430,1272,2135,243,1670,871,1116,1211
48093950200,2019,3313,2811,0,359,40,168,17,516,40,558,137,211,445,1252,1811,23,1072,471,664,1293
48047950100,2019,2118,77,0,2041,0,572,216,189,13,118,3,618,432,424,973,31,741,166,457,474
48047950200,2019,5023,401,0,4605,0,126,28,446,314,499,38,2106,565,876,2144,223,1821,618,1433,918
48015760100,2019,2781,1235,323,1116,0,267,28,222,83,273,164,362,177,661,1160,36,792,382,799,699
